,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
189,2019-07-23 21,13.739999999999998,45153.0,24.9,,3286.2445414847166
190,2019-07-24 10,33.239999999999995,15026.0,13.8,,452.0457280385079
191,2019-07-24 11,33.4,509811.0,18.1,,15263.802395209581
192,2019-07-24 12,30.48,1293729.0,23.6,,42445.17716535433
193,2019-07-24 13,31.56,1935.36,25.7,,61.32319391634981
194,2019-07-24 14,33.72,2323697.0,26.7,,68911.53618030842
195,2019-07-24 15,34.72,2429319.0,27.4,,69968.86520737328
196,2019-07-24 16,33.78,2203064.0,28.5,,65217.99881586737
197,2019-07-24 17,27.7,2544414.0,29.8,,91856.1010830325
198,2019-07-24 18,24.64,2107424.0,30.4,,85528.57142857142
199,2019-07-24 19,17.02,1561243.0,29.9,,91729.90599294947
200,2019-07-24 20,15.72,298405.0,28.8,,18982.506361323154
201,2019-07-24 21,15.46,83876.0,26.4,,5425.3557567917205
202,2019-07-25 10,30.38,20156.0,14.9,,663.4628044766293
203,2019-07-25 11,31.6,398664.0,19.2,,12615.949367088608
204,2019-07-25 12,29.5,1035922.0,21.7,,35116.0
205,2019-07-25 13,31.16,1893496.0,26.7,,60766.88061617458
206,2019-07-25 14,37.48,2358553.0,27.2,,62928.30843116329
207,2019-07-25 15,40.46,2225827.0,29.0,,55013.02521008403
208,2019-07-25 16,34.739999999999995,2719.06,28.9,,78.26885434657456
209,2019-07-25 17,26.94,2464358.0,29.5,,91475.79806978471
210,2019-07-25 18,21.04,2021204.0,29.3,,96064.8288973384
211,2019-07-25 19,18.86,1540327.0,29.0,,81671.63308589607
212,2019-07-25 20,17.78,213165.0,27.9,,11989.032620922384
213,2019-07-25 21,16.98,52303.0,25.0,,3080.270906949352
214,2019-07-26 10,33.48,16913.0,12.9,,505.16726403823185
215,2019-07-26 11,32.12,516997.0,17.6,,16095.797011207971
216,2019-07-26 12,29.0,1292.7,20.9,,44.57586206896552
217,2019-07-26 13,30.520000000000003,1930014.0,24.8,,63237.68020969855
218,2019-07-26 14,33.18,2360759.0,27.2,,71150.06027727546
219,2019-07-26 15,31.16,2556475.0,27.6,,82043.48523748395
220,2019-07-26 16,28.6,1808864.0,27.6,,63246.993006993005
221,2019-07-26 17,25.34,1501931.0,27.6,,59271.15232833465
222,2019-07-26 18,23.360000000000007,1170468.0,28.1,,50105.65068493149
223,2019-07-26 19,21.02,513.91,26.9,,24.44862036156042
224,2019-07-26 20,20.28,366892.0,26.0,,18091.321499013804
225,2019-07-27 10,21.24,17947.0,13.8,,844.9623352165726
226,2019-07-27 11,20.52,546637.0,19.2,,26639.230019493178
227,2019-07-27 12,18.56,1338644.0,22.4,,72125.21551724139
228,2019-07-27 13,18.2,1979723.0,25.2,,108775.98901098901
229,2019-07-27 14,16.6,2432976.0,25.0,,146564.8192771084
230,2019-07-27 15,15.58,2646446.0,26.1,,169861.7458279846
231,2019-07-27 16,15.14,2678443.0,25.7,,176911.69088507266
232,2019-07-27 17,15.7,2568.47,26.8,,163.5968152866242
233,2019-07-27 18,16.9,2163013.0,26.7,,127988.93491124261
234,2019-07-27 19,16.659999999999997,1559.09,26.5,,93.58283313325332
235,2019-07-27 20,15.78,236838.0,25.8,,15008.74524714829
236,2019-07-28 10,14.4,29429.0,13.1,,2043.6805555555554
